Protein,PROTEIN.ID,Len,X10BT2_43,X13BT2_71,X21BT2_40,X26BT2_127,X66BT2_17,X74BT2_88,X5BT2_110,X55BT2_96,X73BT2_21,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown,p.value,log.p.value,axes.LogFoldChange,axes.log.p.value,color.set,color.outline
lcl|c221497_g1_i2|m.7677,m.7677,265,1,0,0,2,1,2,4,0,4,0.837,1.7135,0,0,0.641485,0.086620593,1.062378846,0.837,1.062378846,#E07F80,#5A2731
lcl|c240053_g2_i1|m.26700,m.26700,147,2,3,2,3,3,4,1,13,6,0.832,2.6267,0,0,0.629324,0.008621731,2.064405536,0.832,2.064405536,#94221F,#5A2731
lcl|c233774_g10_i1|m.19002,m.19002,229,1,0,2,1,1,0,5,1,2,0.832,1.5652,0,0,0.645288,0.117536022,0.929829014,0.832,0.929829014,#FFFFFF,#5A2731
lcl|c234077_g1_i1|m.19404,m.19404,690,0,1,0,4,0,0,5,0,4,0.822,1.8077,0,0,0.639341,0.070653205,1.150868135,0.822,1.150868135,#E07F80,#5A2731
lcl|c228330_g5_i1|m.13250,m.13250,356,0,0,0,1,0,2,0,4,3,0.821,1.5035,1.00E-06,0,0.64702,0.132710157,0.877095837,0.821,0.877095837,#FFFFFF,#5A2731
lcl|c242581_g1_i1|m.29984,m.29984,583,1,2,0,1,0,1,3,0,4,0.82,1.5355,1.00E-06,0,0.646109,0.124661057,0.904269195,0.82,0.904269195,#FFFFFF,#5A2731
lcl|c237311_g4_i1|m.23148,m.23148,228,1,0,1,1,1,0,5,1,1,0.819,1.471,2.00E-06,0,0.647976,0.141291117,0.849885142,0.819,0.849885142,#FFFFFF,#5A2731
lcl|c242419_g1_i1|m.29781,m.29781,342,0,0,1,2,4,0,0,0,9,0.813,1.8898,0,0,0.63768,0.058784714,1.230735594,0.813,1.230735594,#E07F80,#5A2731
lcl|c217098_g2_i2|m.4966,m.4966,169,3,0,5,0,2,2,5,6,4,0.806,2.1354,0,0,0.633926,0.032728351,1.48507588,0.806,1.48507588,#C25757,#5A2731
lcl|c231808_g9_i1|m.16644,m.16644,155,0,0,4,6,2,1,3,7,7,0.805,2.1724,0,0,0.633493,0.029825505,1.525412194,0.805,1.525412194,#C25757,#5A2731
lcl|c244489_g1_i1|m.32283,m.32283,378,3,2,0,2,5,2,9,4,4,0.795,2.0743,0,0,0.634706,0.038051458,1.4196287,0.795,1.4196287,#C25757,#5A2731
lcl|c239409_g1_i2|m.25747,m.25747,375,81,101,130,44,50,88,253,229,64,0.793,12.672,0,0,0.616921,8.45E-37,36.0729824,0.793,9.99999,#94221F,#5A2731
lcl|c224880_g4_i1|m.10208,m.10208,327,2,1,3,1,1,0,2,3,5,0.792,1.7001,0,0,0.641809,0.089112117,1.050063237,0.792,1.050063237,#E07F80,#5A2731
lcl|c222196_g3_i1|m.8162,m.8162,140,1,0,2,2,1,0,4,1,4,0.789,1.6622,0,0,0.642746,0.09647268,1.015595656,0.789,1.015595656,#E07F80,#5A2731
lcl|c237065_g1_i1|m.22858,m.22858,217,8,1,0,5,2,8,11,0,15,0.787,2.8906,0,0,0.627285,0.003845072,2.415095548,0.787,2.415095548,#94221F,#5A2731
lcl|c228038_g3_i1|m.12994,m.12994,151,2,4,2,1,1,1,1,4,7,0.787,1.7307,0,0,0.641077,0.083505285,1.078286036,0.787,1.078286036,#E07F80,#5A2731
lcl|c228955_g3_i2|m.13813,m.13813,368,1,3,1,2,4,0,0,6,6,0.78,1.8408,0,0,0.638647,0.065650873,1.182759496,0.78,1.182759496,#E07F80,#5A2731
lcl|c225775_g7_i7|m.10937,m.10937,196,41,24,32,20,30,49,107,30,67,0.745,7.5023,0,0,0.617882,6.27E-14,13.20267948,0.745,9.99999,#94221F,#5A2731
lcl|c215953_g5_i6|m.4317,m.4317,333,1,0,1,1,1,1,2,1,3,0.743,1.2558,7.20E-05,4.00E-06,0.655507,0.209188492,0.679462212,0.743,0.679462212,#FFFFFF,#5A2731
lcl|c238054_g2_i6|m.24053,m.24053,216,2,1,1,2,3,2,4,2,5,0.734,1.6962,0,0,0.641904,0.08984801,1.046491535,0.734,1.046491535,#E07F80,#5A2731
lcl|c233181_g4_i3|m.18256,m.18256,279,1,1,7,4,4,4,3,1,18,0.724,2.325,0,0,0.631929,0.02007196,1.697410213,0.724,1.697410213,#C25757,#5A2731
lcl|c235682_g1_i2|m.21209,m.21209,690,0,1,0,0,0,0,2,1,3,0.722,1.1638,0.000286,1.80E-05,0.659653,0.244505072,0.611712127,0.722,0.611712127,#FFFFFF,#5A2731
lcl|c213742_g1_i10|m.3190,m.3190,163,7,10,12,4,8,6,5,10,33,0.715,3.421,0,0,0.624004,0.000623913,3.204875741,0.715,3.204875741,#94221F,#5A2731
lcl|c214584_g4_i1|m.3540,m.3540,241,1,0,1,0,0,0,0,4,0,0.713,1.2251,0.000115,7.00E-06,0.656816,0.220537545,0.656517464,0.713,0.656517464,#FFFFFF,#5A2731
lcl|c233012_g3_i3|m.18031,m.18031,551,16,9,7,7,16,9,16,3,47,0.711,4.0918,0,0,0.621794,4.28E-05,4.368517935,0.711,4.368517935,#94221F,#5A2731
lcl|c237732_g2_i12|m.23671,m.23671,1173,5,5,4,0,6,0,7,6,9,0.71,2.2524,0,0,0.632635,0.024297006,1.614447244,0.71,1.614447244,#C25757,#5A2731
lcl|c224457_g1_i1|m.9820,m.9820,448,11,2,8,7,5,9,8,9,25,0.706,3.1565,0,0,0.625462,0.001596749,2.796763381,0.706,2.796763381,#94221F,#5A2731
lcl|c235529_g1_i1|m.21016,m.21016,271,0,2,0,0,0,0,5,0,0,0.701,1.2549,7.30E-05,4.00E-06,0.655545,0.209515064,0.678784746,0.701,0.678784746,#FFFFFF,#5A2731
lcl|c226332_g1_i2|m.11417,m.11417,645,16,6,8,0,7,10,14,17,17,0.7,3.4963,0,0,0.623683,0.000471758,3.326280735,0.7,3.326280735,#94221F,#5A2731
lcl|c217585_g1_i2|m.5268,m.5268,241,1,1,0,0,2,1,0,4,2,0.7,1.322,2.50E-05,1.00E-06,0.652914,0.186168151,0.730094615,0.7,0.730094615,#FFFFFF,#5A2731
lcl|c237504_g2_i2|m.23334,m.23334,411,0,0,0,0,0,0,0,0,4,0.698,1.2017,0.000164,1.00E-05,0.657862,0.229479781,0.639255573,0.698,0.639255573,#FFFFFF,#5A2731
lcl|c230360_g10_i5|m.15205,m.15205,379,6,0,0,1,0,0,7,0,3,0.697,1.7495,0,0,0.640638,0.080204629,1.095800567,0.697,1.095800567,#E07F80,#5A2731
lcl|c238797_g3_i10|m.24911,m.24911,284,0,0,0,0,1,0,4,0,0,0.696,1.1066,0.000644,4.40E-05,0.662596,0.268466907,0.57110924,0.696,0.57110924,#FFFFFF,#5A2731
lcl|c239424_g1_i1|m.25772,m.25772,267,1,1,0,0,0,1,2,1,3,0.694,1.1632,0.000289,1.80E-05,0.659683,0.244748367,0.611280198,0.694,0.611280198,#FFFFFF,#5A2731
lcl|c215838_g2_i1|m.4235,m.4235,383,1,1,2,1,0,1,1,2,4,0.693,1.2347,9.90E-05,6.00E-06,0.656399,0.216942176,0.663656008,0.693,0.663656008,#FFFFFF,#5A2731
lcl|c221427_g1_i4|m.7617,m.7617,479,2,1,0,0,3,3,0,0,9,0.692,1.6256,0,0,0.643681,0.104034775,0.982821467,0.692,0.982821467,#FFFFFF,#5A2731
lcl|c211436_g1_i2|m.2434,m.2434,174,0,0,1,0,3,1,0,2,5,0.688,1.3697,1.10E-05,1.00E-06,0.651215,0.170780569,0.767561545,0.688,0.767561545,#FFFFFF,#5A2731
lcl|c232769_g4_i2|m.17751,m.17751,967,0,1,1,1,3,1,1,4,3,0.686,1.3572,1.40E-05,1.00E-06,0.651648,0.174717671,0.757663169,0.686,0.757663169,#FFFFFF,#5A2731
lcl|c236101_g5_i2|m.21702,m.21702,556,0,0,1,1,2,3,2,2,5,0.685,1.3967,7.00E-06,0,0.650308,0.162503804,0.789136468,0.685,0.789136468,#FFFFFF,#5A2731
lcl|c228374_g2_i1|m.13291,m.13291,228,0,0,0,0,1,0,0,0,4,0.682,1.0788,0.000943,6.60E-05,0.664136,0.280676895,0.551793337,0.682,0.551793337,#FFFFFF,#5A2731
lcl|c206909_g1_i1|m.1603,m.1603,243,0,0,0,0,0,0,0,1,4,0.679,1.1398,0.000404,2.60E-05,0.660852,0.254369634,0.594534735,0.679,0.594534735,#FFFFFF,#5A2731
lcl|c236134_g1_i2|m.21741,m.21741,1203,2,6,1,1,7,3,9,3,7,0.676,2.1423,0,0,0.633843,0.032169349,1.49255773,0.676,1.49255773,#C25757,#5A2731
lcl|c234999_g3_i3|m.20494,m.20494,510,1,2,2,1,1,1,2,1,5,0.676,1.2029,0.000161,1.00E-05,0.657807,0.22901502,0.640136033,0.676,0.640136033,#FFFFFF,#5A2731
lcl|c228700_g2_i1|m.13568,m.13568,258,0,0,0,2,0,0,3,0,3,0.673,1.2312,0.000105,6.00E-06,0.65655,0.218248071,0.661049585,0.673,0.661049585,#FFFFFF,#5A2731
lcl|c225457_g2_i2|m.10643,m.10643,1084,1,1,1,0,2,1,1,3,3,0.67,1.2812,4.80E-05,3.00E-06,0.654477,0.200123426,0.698702071,0.67,0.698702071,#FFFFFF,#5A2731
lcl|c228678_g2_i11|m.13512,m.13512,809,1,1,1,0,0,0,3,2,0,0.67,1.1676,0.000271,1.70E-05,0.659468,0.24296815,0.614450653,0.67,0.614450653,#FFFFFF,#5A2731
lcl|c236172_g4_i2|m.21786,m.21786,103,0,0,0,0,0,0,4,0,0,0.664,1.1344,0.000436,2.90E-05,0.661129,0.256626799,0.590697993,0.664,0.590697993,#FFFFFF,#5A2731
lcl|c235859_g3_i3|m.21393,m.21393,241,0,0,0,0,2,0,0,5,0,0.643,1.183,0.000216,1.30E-05,0.658731,0.236809147,0.625601526,0.643,0.625601526,#FFFFFF,#5A2731
lcl|c231732_g1_i2|m.16565,m.16565,1189,1,1,0,0,1,1,0,3,2,0.64,1.0858,0.000858,6.00E-05,0.663741,0.277567486,0.556631407,0.64,0.556631407,#FFFFFF,#5A2731
lcl|c224990_g1_i2|m.10279,m.10279,1026,0,1,0,0,0,0,0,0,4,0.63,1.025,0.001924,0.000144,0.667332,0.305363188,0.515183319,0.63,0.515183319,#FFFFFF,#5A2731
lcl|c237955_g4_i3|m.23932,m.23932,333,1,0,1,5,2,2,3,0,7,0.622,1.4909,1.00E-06,0,0.647387,0.135987751,0.866500207,0.622,0.866500207,#FFFFFF,#5A2731
lcl|c213534_g3_i4|m.3118,m.3118,287,16,15,21,13,20,18,78,8,10,0.619,4.4532,0,0,0.620754,8.46E-06,5.072630236,0.619,5.072630236,#94221F,#5A2731
lcl|c208878_g1_i2|m.1846,m.1846,358,5,9,4,9,7,7,14,6,18,0.612,2.652,0,0,0.629118,0.008001654,2.096820222,0.612,2.096820222,#94221F,#5A2731
lcl|c223098_g6_i3|m.8878,m.8878,369,2,4,5,1,1,1,4,7,2,0.611,1.6208,0,0,0.643805,0.105060539,0.978560377,0.611,0.978560377,#FFFFFF,#5A2731
lcl|c242924_g1_i1|m.30399,m.30399,364,10,9,10,7,12,8,3,47,2,0.609,3.2,0,0,0.62519,0.001374276,2.861926077,0.609,2.861926077,#94221F,#5A2731
lcl|c235506_g6_i4|m.20981,m.20981,174,20,21,9,23,24,5,32,15,47,0.607,4.1905,0,0,0.621505,2.78E-05,4.55542373,0.607,4.55542373,#94221F,#5A2731
lcl|c236424_g4_i3|m.22101,m.22101,241,1,1,0,0,0,0,1,1,3,0.596,0.9438,0.005308,0.000434,0.672721,0.345271861,0.461838815,0.596,0.461838815,#FFFFFF,#5A2731
lcl|c240077_g1_i4|m.26740,m.26740,163,0,4,0,0,2,2,8,0,0,0.593,1.3243,2.40E-05,1.00E-06,0.652829,0.185403431,0.731882234,0.593,0.731882234,#FFFFFF,#5A2731
lcl|c234712_g2_i1|m.20167,m.20167,759,3,1,3,2,1,1,0,5,4,0.585,1.2983,3.60E-05,2.00E-06,0.653809,0.194184266,0.711785961,0.585,0.711785961,#FFFFFF,#5A2731
lcl|c231982_g2_i3|m.16868,m.16868,395,1,0,1,2,0,0,1,1,4,0.584,1.0377,0.00163,0.00012,0.666551,0.299409745,0.523734069,0.584,0.523734069,#FFFFFF,#5A2731
lcl|c243799_g1_i1|m.31328,m.31328,844,3,6,1,1,1,1,4,6,2,0.582,1.4155,5.00E-06,0,0.649696,0.156921948,0.804316308,0.582,0.804316308,#FFFFFF,#5A2731
lcl|c217146_g1_i1|m.4997,m.4997,510,1,0,1,0,2,1,2,3,0,0.579,0.9796,0.003424,0.000269,0.670259,0.327283605,0.48507575,0.579,0.48507575,#FFFFFF,#5A2731
lcl|c221968_g1_i1|m.8017,m.8017,625,2,3,2,0,0,0,1,0,7,0.577,1.2058,0.000154,9.00E-06,0.657676,0.227894616,0.642265936,0.577,0.642265936,#FFFFFF,#5A2731
lcl|c222132_g1_i1|m.8115,m.8115,295,0,1,1,2,0,1,4,1,0,0.575,1.0158,0.002166,0.000164,0.667908,0.309724636,0.509024249,0.575,0.509024249,#FFFFFF,#5A2731
lcl|c224310_g1_i1|m.9717,m.9717,510,1,0,0,0,3,0,1,0,5,0.571,1.0466,0.00145,0.000106,0.666014,0.295284102,0.529759935,0.571,0.529759935,#FFFFFF,#5A2731
lcl|c233048_g1_i8|m.18077,m.18077,496,3,3,5,0,8,2,7,1,11,0.567,1.7637,0,0,0.640313,0.077782501,1.109118096,0.567,1.109118096,#E07F80,#5A2731
lcl|c213850_g3_i2|m.3229,m.3229,370,1,0,0,0,1,4,6,0,1,0.565,1.1394,0.000407,2.70E-05,0.660872,0.254536356,0.594250178,0.565,0.594250178,#FFFFFF,#5A2731
lcl|c229310_g3_i5|m.14142,m.14142,374,2,2,1,0,0,2,2,0,5,0.562,1.0911,0.000798,5.50E-05,0.663445,0.275228883,0.560305993,0.562,0.560305993,#FFFFFF,#5A2731
lcl|c237814_g2_i4|m.23787,m.23787,595,1,1,0,0,0,2,0,4,0,0.559,0.9354,0.005871,0.000484,0.673318,0.349582197,0.456450693,0.559,0.456450693,#FFFFFF,#5A2731
lcl|c187253_g2_i1|m.744,m.744,358,0,0,0,0,0,2,4,0,0,0.557,1.0301,0.0018,0.000134,0.667016,0.302963065,0.518610314,0.557,0.518610314,#FFFFFF,#5A2731
lcl|c227887_g3_i2|m.12871,m.12871,160,0,6,4,3,5,2,8,0,9,0.556,1.8137,0,0,0.639213,0.069723925,1.156618172,0.556,1.156618172,#E07F80,#5A2731
lcl|c214720_g2_i1|m.3640,m.3640,316,1,3,1,0,1,2,4,2,2,0.555,1.1213,0.000525,3.50E-05,0.661811,0.262160186,0.581433264,0.555,0.581433264,#FFFFFF,#5A2731
lcl|c207332_g2_i2|m.1633,m.1633,171,0,0,0,0,0,46,0,0,42,0.55,2.6743,0,0,0.628939,0.007488543,2.125602681,0.55,2.125602681,#94221F,#5A2731
lcl|c233557_g1_i1|m.18714,m.18714,490,2,1,1,15,2,3,1,0,19,0.55,1.8673,0,0,0.638114,0.061859705,1.208592153,0.55,1.208592153,#E07F80,#5A2731
lcl|c228940_g3_i1|m.13807,m.13807,207,0,3,1,2,2,1,4,2,3,0.55,1.2417,8.90E-05,5.00E-06,0.656099,0.21434727,0.668882043,0.55,0.668882043,#FFFFFF,#5A2731
lcl|c65293_g1_i1|m.32646,m.32646,394,1,1,2,1,0,0,0,4,0,0.55,0.9689,0.003909,0.000311,0.67098,0.332595085,0.478084172,0.55,0.478084172,#FFFFFF,#5A2731
lcl|c214028_g2_i1|m.3329,m.3329,353,1,1,0,0,1,1,0,0,3,0.543,0.8591,0.014129,0.001262,0.6791,0.390285347,0.408617753,0.543,0.408617753,#FFFFFF,#5A2731
lcl|c209565_g1_i2|m.2000,m.2000,146,14,16,33,18,13,15,23,13,59,0.541,3.8501,0,0,0.622508,0.00011807,3.927861876,0.541,3.927861876,#94221F,#5A2731
lcl|c231825_g1_i2|m.16652,m.16652,138,0,0,0,1,0,0,3,0,0,0.541,0.8128,0.023271,0.002184,0.68292,0.416332736,0.38055944,0.541,0.38055944,#FFFFFF,#5A2731
lcl|c243516_g2_i2|m.31048,m.31048,532,6,0,2,4,2,0,7,0,6,0.54,1.4129,5.00E-06,0,0.64978,0.157685129,0.802209262,0.54,0.802209262,#FFFFFF,#5A2731
lcl|c229426_g2_i4|m.14256,m.14256,196,3,0,0,0,1,1,2,0,4,0.538,0.9998,0.002657,0.000205,0.66893,0.317407306,0.498383081,0.538,0.498383081,#FFFFFF,#5A2731
lcl|c220736_g3_i1|m.7111,m.7111,208,0,1,0,0,1,0,3,0,0,0.537,0.8539,0.014963,0.001344,0.679518,0.3931604,0.405430232,0.537,0.405430232,#FFFFFF,#5A2731
lcl|c241183_g3_i1|m.28296,m.28296,351,0,0,0,0,0,1,0,0,3,0.537,0.8377,0.017852,0.001631,0.680837,0.402199213,0.395558783,0.537,0.395558783,#FFFFFF,#5A2731
lcl|c232813_g3_i2|m.17801,m.17801,479,2,5,1,2,7,3,6,2,9,0.534,1.5926,0,0,0.644548,0.111249954,0.953700162,0.534,0.953700162,#FFFFFF,#5A2731
lcl|c239419_g1_i1|m.25763,m.25763,428,1,1,2,1,1,0,0,0,4,0.534,0.918,0.007216,0.000606,0.674581,0.358618866,0.445366867,0.534,0.445366867,#FFFFFF,#5A2731
lcl|c226739_g4_i2|m.11743,m.11743,391,1,1,1,0,2,0,1,2,3,0.534,0.9153,0.007448,0.000628,0.67478,0.360034159,0.443656293,0.534,0.443656293,#FFFFFF,#5A2731
lcl|c239963_g4_i3|m.26575,m.26575,453,1,1,1,0,0,1,0,3,1,0.533,0.8441,0.016655,0.001512,0.680312,0.398613528,0.399447967,0.533,0.399447967,#FFFFFF,#5A2731
lcl|c215430_g1_i6|m.4026,m.4026,280,0,1,2,0,0,0,2,0,3,0.53,0.9246,0.006676,0.000557,0.674098,0.355174013,0.449558818,0.53,0.449558818,#FFFFFF,#5A2731
lcl|c236507_g1_i6|m.22186,m.22186,446,1,1,3,0,1,1,1,3,3,0.529,1.0263,0.001891,0.000141,0.667251,0.304750197,0.516056005,0.529,0.516056005,#FFFFFF,#5A2731
lcl|c241444_g1_i2|m.28576,m.28576,753,1,1,3,1,5,2,2,2,7,0.528,1.3072,3.20E-05,2.00E-06,0.653469,0.191144796,0.718637522,0.528,0.718637522,#FFFFFF,#5A2731
